State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Andaman And Nicobar,Nicobars,2000,Kharif     ,rice,102.0,321.0
Andaman And Nicobar,Nicobars,2000,Whole Year ,banana,176.0,641.0
Andaman And Nicobar,Nicobars,2000,Whole Year ,coconut,18168.0,65100000.0
Andaman And Nicobar,Nicobars,2000,Whole Year ,tapioca,40.0,169.0
Andaman And Nicobar,Nicobars,2001,Kharif     ,rice,83.0,300.0
Andaman And Nicobar,Nicobars,2001,Whole Year ,coconut,18190.0,64430000.0
Andaman And Nicobar,Nicobars,2002,Kharif     ,rice,189.2,510.84
Andaman And Nicobar,Nicobars,2002,Whole Year ,banana,213.0,1278.0
Andaman And Nicobar,Nicobars,2002,Whole Year ,coconut,18240.0,67490000.0
Andaman And Nicobar,Nicobars,2003,Kharif     ,rice,52.0,90.17
Andaman And Nicobar,Nicobars,2003,Whole Year ,banana,266.0,1763.0
Andaman And Nicobar,Nicobars,2003,Whole Year ,coconut,18284.74,68580000.0
Andaman And Nicobar,Nicobars,2004,Kharif     ,rice,52.94,72.57
Andaman And Nicobar,Nicobars,2004,Whole Year ,banana,66.42,404.12
Andaman And Nicobar,Nicobars,2004,Whole Year ,coconut,18394.7,52380000.0
Andaman And Nicobar,Nicobars,2005,Kharif     ,rice,2.09,12.06
Andaman And Nicobar,Nicobars,2005,Whole Year ,banana,22.0,582.0
Andaman And Nicobar,Nicobars,2005,Whole Year ,coconut,13876.57,52030000.0
Andaman And Nicobar,Nicobars,2006,Whole Year ,banana,198.0,976.0
Andaman And Nicobar,Nicobars,2006,Whole Year ,coconut,14358.0,59370000.0
Andaman And Nicobar,Nicobars,2006,Whole Year ,tapioca,52.03,450.0
Andaman And Nicobar,Nicobars,2010,Autumn     ,rice,3.5,10.0
Andaman And Nicobar,Nicobars,2010,Rabi       ,maize,3.84,18.22
Andaman And Nicobar,Nicobars,2010,Rabi       ,mungbean,1.5,1.1
Andaman And Nicobar,Nicobars,2010,Whole Year ,banana,593.0,3425.0
Andaman And Nicobar,Nicobars,2010,Whole Year ,coconut,14560.0,71300000.0
Andaman And Nicobar,Nicobars,2010,Whole Year ,tapioca,69.0,575.0
Andaman And Nicobar,North And Middle Andaman,2000,Kharif     ,rice,10779.0,31863.0
Andaman And Nicobar,North And Middle Andaman,2000,Whole Year ,banana,1531.0,12073.0
Andaman And Nicobar,North And Middle Andaman,2000,Whole Year ,coconut,6992.0,23900000.0
Andaman And Nicobar,North And Middle Andaman,2000,Whole Year ,tapioca,160.0,2108.0
Andaman And Nicobar,North And Middle Andaman,2001,Kharif     ,rice,9718.0,27033.0
Andaman And Nicobar,North And Middle Andaman,2001,Whole Year ,coconut,7015.0,25250000.0
Andaman And Nicobar,North And Middle Andaman,2006,Kharif     ,rice,6854.3,18995.62
Andaman And Nicobar,North And Middle Andaman,2006,Whole Year ,banana,957.57,8582.0
Andaman And Nicobar,North And Middle Andaman,2006,Whole Year ,coconut,3575.0,15400000.0
Andaman And Nicobar,North And Middle Andaman,2006,Whole Year ,tapioca,255.0,1420.0
Andaman And Nicobar,North And Middle Andaman,2010,Autumn     ,rice,6791.0,20118.0
Andaman And Nicobar,North And Middle Andaman,2010,Rabi       ,maize,86.7,96.4
Andaman And Nicobar,North And Middle Andaman,2010,Rabi       ,mungbean,1168.6,556.55
Andaman And Nicobar,North And Middle Andaman,2010,Whole Year ,banana,657.0,7968.0
Andaman And Nicobar,North And Middle Andaman,2010,Whole Year ,coconut,3668.0,12700000.0
Andaman And Nicobar,North And Middle Andaman,2010,Whole Year ,tapioca,186.5,1355.0
Andaman And Nicobar,South Andamans,2002,Kharif     ,rice,10695.8,31600.82
Andaman And Nicobar,South Andamans,2002,Whole Year ,banana,1524.0,10882.0
Andaman And Nicobar,South Andamans,2002,Whole Year ,coconut,7060.0,26830000.0
Andaman And Nicobar,South Andamans,2003,Kharif     ,rice,10509.37,30760.7
Andaman And Nicobar,South Andamans,2003,Whole Year ,banana,1530.0,11558.0
Andaman And Nicobar,South Andamans,2003,Whole Year ,coconut,7110.0,26660000.0
Andaman And Nicobar,South Andamans,2004,Kharif     ,rice,10681.98,29119.66
Andaman And Nicobar,South Andamans,2004,Whole Year ,banana,1912.1,17374.4
Andaman And Nicobar,South Andamans,2004,Whole Year ,coconut,7156.7,34750000.0
Andaman And Nicobar,South Andamans,2005,Kharif     ,rice,8683.38,25870.98
Andaman And Nicobar,South Andamans,2005,Whole Year ,banana,1656.8,10251.13
Andaman And Nicobar,South Andamans,2005,Whole Year ,coconut,7050.45,26430000.0
Andaman And Nicobar,South Andamans,2005,Whole Year ,tapioca,254.5,1480.0
Andaman And Nicobar,South Andamans,2006,Kharif     ,rice,921.87,2539.64
Andaman And Nicobar,South Andamans,2006,Whole Year ,banana,483.0,4150.0
Andaman And Nicobar,South Andamans,2006,Whole Year ,coconut,3483.09,14190000.0
Andaman And Nicobar,South Andamans,2006,Whole Year ,tapioca,40.0,160.0
Andaman And Nicobar,South Andamans,2010,Autumn     ,rice,1595.5,3788.0
Andaman And Nicobar,South Andamans,2010,Rabi       ,maize,73.0,253.0
Andaman And Nicobar,South Andamans,2010,Rabi       ,mungbean,29.9,17.85
Andaman And Nicobar,South Andamans,2010,Whole Year ,banana,360.0,5517.0
Andaman And Nicobar,South Andamans,2010,Whole Year ,coconut,3540.0,11000000.0
Andaman And Nicobar,South Andamans,2010,Whole Year ,tapioca,22.5,220.0
Andhra Pradesh,Anantapur,1997,Kharif     ,cotton,7300.0,9400.0
Andhra Pradesh,Anantapur,1997,Kharif     ,maize,2800.0,4900.0
Andhra Pradesh,Anantapur,1997,Kharif     ,mungbean,1300.0,500.0
Andhra Pradesh,Anantapur,1997,Kharif     ,rice,35600.0,75400.0
Andhra Pradesh,Anantapur,1997,Rabi       ,chickpea,28000.0,14800.0
Andhra Pradesh,Anantapur,1997,Rabi       ,maize,600.0,2400.0
Andhra Pradesh,Anantapur,1997,Rabi       ,rice,18000.0,37300.0
Andhra Pradesh,Anantapur,1997,Rabi       ,wheat,300.0,200.0
Andhra Pradesh,Anantapur,1998,Kharif     ,cotton,14000.0,12900.0
Andhra Pradesh,Anantapur,1998,Kharif     ,maize,3300.0,6700.0
Andhra Pradesh,Anantapur,1998,Kharif     ,mungbean,2100.0,1300.0
Andhra Pradesh,Anantapur,1998,Kharif     ,rice,38300.0,96800.0
Andhra Pradesh,Anantapur,1998,Rabi       ,chickpea,26200.0,25900.0
Andhra Pradesh,Anantapur,1998,Rabi       ,maize,300.0,1600.0
Andhra Pradesh,Anantapur,1998,Rabi       ,rice,26600.0,63900.0
Andhra Pradesh,Anantapur,1998,Rabi       ,wheat,400.0,200.0
Andhra Pradesh,Anantapur,1999,Kharif     ,cotton,9453.0,10510.0
Andhra Pradesh,Anantapur,1999,Kharif     ,maize,3358.0,9540.0
Andhra Pradesh,Anantapur,1999,Kharif     ,mungbean,1546.0,1098.0
Andhra Pradesh,Anantapur,1999,Kharif     ,rice,37991.0,105082.0
Andhra Pradesh,Anantapur,1999,Rabi       ,chickpea,26835.0,9365.0
Andhra Pradesh,Anantapur,1999,Rabi       ,maize,455.0,2203.0
Andhra Pradesh,Anantapur,1999,Rabi       ,mungbean,1.0,1.0
Andhra Pradesh,Anantapur,1999,Rabi       ,rice,20258.0,45669.0
Andhra Pradesh,Anantapur,1999,Rabi       ,wheat,439.0,294.0
Andhra Pradesh,Anantapur,2000,Kharif     ,cotton,12025.0,16128.0
Andhra Pradesh,Anantapur,2000,Kharif     ,chickpea,21.0,14.0
Andhra Pradesh,Anantapur,2000,Kharif     ,maize,3475.0,9049.0
Andhra Pradesh,Anantapur,2000,Kharif     ,mungbean,1744.0,774.0
Andhra Pradesh,Anantapur,2000,Kharif     ,rice,39905.0,117680.0
Andhra Pradesh,Anantapur,2000,Rabi       ,chickpea,33858.0,22685.0
Andhra Pradesh,Anantapur,2000,Rabi       ,maize,399.0,2148.0
Andhra Pradesh,Anantapur,2000,Rabi       ,rice,22099.0,57236.0
Andhra Pradesh,Anantapur,2000,Rabi       ,wheat,520.0,297.0
Andhra Pradesh,Anantapur,2000,Whole Year ,banana,769.0,11693.0
Andhra Pradesh,Anantapur,2000,Whole Year ,coconut,908.0,3896970.0
Andhra Pradesh,Anantapur,2001,Kharif     ,cotton,8552.0,9055.0
Andhra Pradesh,Anantapur,2001,Kharif     ,chickpea,16.0,17.0
Andhra Pradesh,Anantapur,2001,Kharif     ,maize,2667.0,7129.0
Andhra Pradesh,Anantapur,2001,Kharif     ,mungbean,1511.0,730.0
Andhra Pradesh,Anantapur,2001,Kharif     ,rice,32878.0,95609.0
Andhra Pradesh,Anantapur,2001,Rabi       ,chickpea,47894.0,50145.0
Andhra Pradesh,Anantapur,2001,Rabi       ,maize,447.0,2893.0
Andhra Pradesh,Anantapur,2001,Rabi       ,mungbean,40.0,12.0
Andhra Pradesh,Anantapur,2001,Rabi       ,rice,38119.0,108906.0
Andhra Pradesh,Anantapur,2001,Rabi       ,wheat,307.0,213.0
Andhra Pradesh,Anantapur,2001,Whole Year ,banana,1582.0,462.0
Andhra Pradesh,Anantapur,2001,Whole Year ,coconut,851.0,3053700.0
Andhra Pradesh,Anantapur,2002,Kharif     ,cotton,7638.0,7144.0
Andhra Pradesh,Anantapur,2002,Kharif     ,maize,3541.0,3431.0
Andhra Pradesh,Anantapur,2002,Kharif     ,mungbean,1150.0,174.0
Andhra Pradesh,Anantapur,2002,Kharif     ,rice,29066.0,66329.0
Andhra Pradesh,Anantapur,2002,Rabi       ,chickpea,54264.0,20186.0
Andhra Pradesh,Anantapur,2002,Rabi       ,maize,1288.0,8933.0
Andhra Pradesh,Anantapur,2002,Rabi       ,mungbean,4.0,1.0
Andhra Pradesh,Anantapur,2002,Rabi       ,rice,10960.0,20462.0
Andhra Pradesh,Anantapur,2002,Rabi       ,wheat,362.0,333.0
Andhra Pradesh,Anantapur,2002,Whole Year ,banana,19.0,1006.0
Andhra Pradesh,Anantapur,2002,Whole Year ,coconut,869.0,3691149.0
Andhra Pradesh,Anantapur,2002,Whole Year ,grapes,111.0,2075.0
Andhra Pradesh,Anantapur,2002,Whole Year ,mango,3968.0,26176.0
Andhra Pradesh,Anantapur,2002,Whole Year ,orange,13767.0,112541.0
Andhra Pradesh,Anantapur,2002,Whole Year ,papaya,1544.0,201409.0
Andhra Pradesh,Anantapur,2003,Kharif     ,cotton,4212.0,4262.0
Andhra Pradesh,Anantapur,2003,Kharif     ,maize,6246.0,10718.0
Andhra Pradesh,Anantapur,2003,Kharif     ,mungbean,1216.0,662.0
Andhra Pradesh,Anantapur,2003,Kharif     ,rice,17515.0,44891.0
Andhra Pradesh,Anantapur,2003,Rabi       ,chickpea,51461.0,15438.0
Andhra Pradesh,Anantapur,2003,Rabi       ,maize,1212.0,6787.0
Andhra Pradesh,Anantapur,2003,Rabi       ,mungbean,22.0,7.0
Andhra Pradesh,Anantapur,2003,Rabi       ,rice,10826.0,25463.0
Andhra Pradesh,Anantapur,2003,Rabi       ,wheat,414.0,123.0
Andhra Pradesh,Anantapur,2003,Whole Year ,banana,36.0,1302.0
