state,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,jan-feb,mar-may,jun-sep,oct-dec,annual_avg
Andaman And Nicobar,73.8,72.15,69.79,71.51,74.76,79.49,80.43,80.29,79.38,76.8,75.62,74.77,72.975,72.02,79.8975,75.73,75.7325
Andhra Pradesh,71.66,66.99,61.93,59.36,48.19,51.37,57.68,63.61,70.34,73.54,75.35,72.03,69.325,56.49333333,60.75,73.64,64.3375
Arunachal Pradesh,61.69,60.71,59.99,68.05,75.28,82.31,86.47,83.56,83.62,77.74,72.32,66.9,61.2,67.77333333,83.99,72.32,73.22
Assam,68.54,61.35,53.39,64.35,73.24,81.81,85.78,82.78,83.77,80.33,77.13,74.02,64.945,63.66,83.535,77.16,73.87416667
Bihar,55.99,49.43,30.01,26.53,33.3,44.65,65.77,68.83,71.26,64.98,48.13,46,52.71,29.94666667,62.6275,53.03666667,50.40666667
Chattisgarh,44.19,35.13,25.57,21.56,22.26,47.46,71.65,79.15,77.38,68.06,52.45,46.48,39.66,23.13,68.91,55.66333333,49.27833333
Goa,56.87,57.46,63.85,69.41,73.28,81.5,86,85.93,83.77,76.96,64.71,57.76,57.165,68.84666667,84.3,66.47666667,71.45833333
Gujarat,34.99,31.82,31.23,35.92,45.62,57.42,73.07,77.75,72.85,43.4,33.86,32.88,33.405,37.59,70.2725,36.71333333,47.5675
Haryana,49.7,49.01,37.65,21.55,17.36,27.04,47.95,57.36,51.65,31.86,29.26,35.04,49.355,25.52,46,32.05333333,37.9525
Himachal Pradesh,46.8,51.56,45.36,40.3,36.1,47.2,77.58,86.18,76.1,52.54,43.15,39.85,49.18,40.58666667,71.765,45.18,53.56
Jammu And Kashmir,39.24,46.58,41.17,30.99,23.68,27.26,46.99,60.12,50.48,31.74,26.99,29.42,42.91,31.94666667,46.2125,29.38333333,37.88833333
Jharkhand,48.88,40.93,29.57,27.47,33.51,53.91,79.09,83.41,82.18,73.13,58.1,51.53,44.905,30.18333333,74.6475,60.92,55.1425
Karnataka,45.27,35.64,32.85,38.49,47.86,68.2,74.4,76.27,75.61,68.91,61.29,54.09,40.455,39.73333333,73.62,61.43,56.57333333
Kerala,63.32,59.77,65.68,73.18,78.93,83.92,84.82,85.33,83.86,82.72,77.39,70.01,61.545,72.59666667,84.4825,76.70666667,75.74416667
Madhya Pradesh,46.64,36.41,24.33,16.95,17.38,44.24,74.53,82.18,75.8,55.4,45.29,44.56,41.525,19.55333333,69.1875,48.41666667,46.97583333
Maharashtra,36.35,27.6,20.75,17.88,23.66,54.1,71.4,77.16,74.88,57.82,49.12,40.87,31.975,20.76333333,69.385,49.27,45.96583333
Manipur,72.62,64.19,57.21,64.82,75.12,86.73,90.65,89.58,88.21,85.25,79.42,77.56,68.405,65.71666667,88.7925,80.74333333,77.61333333
Meghalaya,80.1,71,65.46,77,87.4,93.07,94.83,94.27,93.91,89.95,83.84,82.73,75.55,76.62,94.02,85.50666667,84.46333333
Mizoram,70.03,62.55,57.9,64.13,76,86.88,90.11,90.44,89.57,85.5,76.58,72.64,66.29,66.01,89.25,78.24,76.86083333
Nagaland,68.9,64.08,59.67,67.18,74.33,81.76,85.98,83.82,85.14,82.86,79.6,74.53,66.49,67.06,84.175,78.99666667,75.65416667
Odisha,53.91,47.96,43.35,44.92,50.92,59.37,74.56,78.73,78.68,73.32,62.72,57.26,50.935,46.39666667,72.835,64.43333333,60.475
Pondicherry,74.38,73.09,71.43,72.19,67.38,62.95,64.62,69.18,72.63,74.19,76.56,76.28,73.735,70.33333333,67.345,75.67666667,71.24
Punjab,58.02,59.57,48.06,27.41,20.05,26.37,49.06,64.55,58.18,34.15,29.69,39,58.795,31.84,49.54,34.28,42.8425
Rajasthan,37.22,31.92,24.17,17.98,19.33,32.15,51.92,64.5,53.27,28.6,29.02,31.23,34.57,20.49333333,50.46,29.61666667,35.10916667
Sikkim,49.4,49.99,49,53.21,64.95,74.1,79.55,77.52,76.34,65.19,60.99,56.09,49.695,55.72,76.8775,60.75666667,63.0275
Tamil Nadu,71.18,64.23,57.45,52.97,51.09,50.93,51.56,56.12,59.99,69.89,76.92,75.65,67.705,53.83666667,54.65,74.15333333,61.49833333
Telangana,48,41.68,33.4,30.22,28.03,55.42,73.16,78.59,77.56,67.97,60.01,52.21,44.84,30.55,71.1825,60.06333333,53.85416667
Tripura,65.47,56.87,54.97,67.24,78.89,86.15,88.72,87.84,87.62,84.06,78.25,73.39,61.17,67.03333333,87.5825,78.56666667,75.78916667
Uttar Pradesh,55.45,51.75,32.32,20.79,21.28,34.18,61.77,68.85,66.74,49.87,38.14,40.83,53.6,24.79666667,57.885,42.94666667,45.16416667
Uttrakhand,48.19,46.04,35.99,27.62,26.53,40.62,72.61,81.54,75.54,56.04,45.78,42.3,47.115,30.04666667,67.5775,48.04,49.9
West Bengal,45.93,41.9,43.56,51.25,57.24,62.33,74.34,79.04,80.59,74.21,57.46,47.26,43.915,50.68333333,74.075,59.64333333,59.5925
