state,district,annual,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,annual_avg
Andaman And Nicobar,nicobar,2805.2,165.2,540.7,1207.2,892.1,233.76666666666665
Andaman And Nicobar,south andaman,3015.7,69.7,483.5,1757.2,705.3,251.3083333333333
Andaman And Nicobar,n & m andaman,2913.3,48.6,405.6,1884.4,574.7,242.775
Assam,cachar,2999.2,63.5,817.2,1889.9,228.6,249.9333333333333
Assam,darrang,1957.8,34.5,542.3,1259.1,121.9,163.15
Assam,goalpara,2575.3,33.1,647.5,1710.1,184.6,214.60833333333335
Assam,kamrup,1813.4,32.8,503.7,1147.7,129.2,151.11666666666667
Assam,lakhimpur,2859.3,76.3,574.1,2025.2,183.7,238.275
Assam,north cachar,1977.5,64.2,674.8,988.8,249.7,164.79166666666666
Assam,nagaon,1660.1,34.5,348.3,1124.9,152.4,138.34166666666667
Assam,sivasagar,1811.6,53.3,461.9,1169.5,126.9,150.96666666666667
Assam,barpeta,3274.6,37.2,621.2,2441.0,175.2,272.8833333333333
Assam,dhubri,2702.6,22.0,585.7,1916.5,178.4,225.21666666666667
Assam,dibrugarh,2556.6,83.7,642.1,1651.4,179.4,213.04999999999998
Assam,jorhat,2083.0,58.9,562.1,1299.1,162.9,173.58333333333334
Assam,karimganj,3650.8,48.4,1114.1,2147.9,340.4,304.23333333333335
Assam,kokrajhar,3772.2,38.8,723.3,2826.4,183.7,314.34999999999997
Assam,shonitpur,1978.5,42.5,478.4,1314.4,143.2,164.875
Assam,golaghat,1680.7,46.4,446.7,1049.6,138.0,140.05833333333334
Assam,tinsukia,2485.3,85.0,619.8,1617.8,162.7,207.10833333333335
Assam,hailakandi,2645.6,49.3,779.0,1621.1,196.2,220.46666666666667
Assam,dhemaji(lakhi,2859.3,76.3,574.1,2025.2,183.7,238.275
Assam,karbi anglong,1341.0,36.9,299.5,867.0,137.6,111.75
Assam,udalguri(dara,1957.8,34.5,542.3,1259.1,121.9,163.15
Assam,kamrup metrop,1813.4,32.8,503.7,1147.7,129.2,151.11666666666667
Assam,chirang(bongai,3218.7,41.2,682.9,2296.1,198.5,268.22499999999997
Assam,baksa barpeta,3274.6,37.2,621.2,2441.0,175.2,272.8833333333333
Assam,bongaigaon,3218.7,41.2,682.9,2296.1,198.5,268.22499999999997
Assam,morigaon,1743.5,43.1,337.5,1215.5,147.4,145.29166666666666
Assam,nalbari,2356.6,33.5,622.0,1564.3,136.8,196.38333333333333
Meghalaya,east khasi hi,6166.1,39.5,1175.9,4621.8,328.9,513.8416666666667
Meghalaya,jaintia hills,6379.9,77.9,996.2,4667.5,638.3,531.6583333333333
Meghalaya,east garo hil,2554.4,21.6,660.6,1671.5,200.7,212.86666666666667
Meghalaya,ri-bhoi,2116.9,31.3,446.2,1479.5,159.9,176.40833333333333
Meghalaya,south garo hi,2459.8,17.5,579.6,1681.5,181.2,204.98333333333335
Meghalaya,w khasi hill,3643.0,50.8,574.1,2775.0,243.1,303.5833333333333
Meghalaya,west garo hil,2459.8,17.5,579.6,1681.5,181.2,204.98333333333335
Manipur,imphal east,1839.2,47.8,438.9,1164.2,188.3,153.26666666666668
Manipur,senapati,1922.6,43.2,370.6,1281.0,227.8,160.21666666666667
Manipur,tamenglong,7229.3,278.1,1195.9,5228.0,527.3,602.4416666666667
Manipur,chandel,2647.5,36.4,293.2,2007.1,310.8,220.625
Manipur,ukhrul,1549.0,50.6,255.7,1057.5,185.2,129.08333333333334
Manipur,thoubal,1286.3,41.5,279.4,833.6,131.8,107.19166666666666
Manipur,bishnupur,2127.5,104.5,379.8,1334.3,308.9,177.29166666666666
Manipur,imphal west,1530.9,53.3,307.5,971.8,198.3,127.575
Manipur,churachandpur,2337.4,44.1,498.0,1560.6,234.7,194.78333333333333
Nagaland,kohima,1824.8,41.1,307.6,1308.0,168.1,152.06666666666666
Nagaland,tuensang,2080.0,50.5,468.6,1386.1,174.8,173.33333333333334
Nagaland,mokokchung,2409.8,54.5,486.3,1676.1,192.9,200.8166666666667
Nagaland,dimapur,1305.9,18.8,286.8,815.3,185.0,108.825
Nagaland,wokha,2497.7,62.5,566.6,1668.7,199.9,208.14166666666665
Nagaland,mon,1339.9,46.6,380.0,823.9,89.4,111.65833333333335
Nagaland,zunheboto,2080.0,50.5,468.6,1386.1,174.8,173.33333333333334
Nagaland,phek,1824.8,41.1,307.6,1308.0,168.1,152.06666666666666
Nagaland,kephrie,2080.0,50.5,468.6,1386.1,174.8,173.33333333333334
Nagaland,longleng,2080.0,50.5,468.6,1386.1,174.8,173.33333333333334
Nagaland,peren,1824.8,41.1,307.6,1308.0,168.1,152.06666666666666
Tripura,north tripura,2641.8,50.8,831.3,1527.7,232.0,220.15
Tripura,south tripura,2475.4,38.7,583.2,1624.2,229.3,206.28333333333333
Tripura,west tripura,2286.7,37.5,626.2,1396.3,226.7,190.5583333333333
Tripura,dhalai,2512.6,52.5,783.1,1440.7,236.3,209.38333333333333
West Bengal,cooch behar,3443.7,24.9,516.5,2737.6,164.7,286.97499999999997
West Bengal,darjeeling,3118.5,82.1,450.5,2440.3,145.6,259.875
West Bengal,jalpaiguri,3468.3,27.0,498.3,2757.9,185.1,289.02500000000003
West Bengal,malda,1419.4,24.1,155.5,1117.3,122.5,118.28333333333335
West Bengal,south dinajpur,1584.9,22.2,245.7,1185.9,131.1,132.07500000000002
West Bengal,north dinajpur,1727.6,23.5,206.6,1394.5,103.0,143.96666666666667
West Bengal,bankura,1330.9,30.0,125.2,1051.2,124.5,110.90833333333335
West Bengal,birbhum,1392.8,29.5,130.8,1106.0,126.5,116.06666666666666
West Bengal,burdwan,1315.2,32.9,136.4,1028.7,117.2,109.60000000000001
West Bengal,hooghly,1418.7,38.5,187.3,1067.9,125.0,118.22500000000001
West Bengal,howrah,1600.0,37.1,211.0,1211.4,140.5,133.33333333333334
West Bengal,purulia,1363.3,35.0,118.0,1094.5,115.8,113.60833333333333
West Bengal,murshidabad,1391.1,28.0,140.0,1079.3,143.8,115.925
West Bengal,nadia,1261.6,29.8,158.4,955.0,118.4,105.13333333333333
West Bengal,north 24 parg,1559.8,33.4,195.2,1172.8,158.4,129.98333333333332
West Bengal,south 24 parg,2088.0,40.3,204.7,1552.6,290.4,174.0
West Bengal,east midnapor,1669.6,34.5,174.6,1220.3,240.2,139.13333333333333
West Bengal,west midnapor,1535.5,36.3,203.4,1166.1,129.7,127.95833333333333
West Bengal,kolkata,1709.2,39.1,200.0,1281.1,189.0,142.43333333333334
Odisha,balasore,1679.0,47.9,218.5,1177.1,235.5,139.91666666666666
Odisha,bolangir,1370.8,27.0,80.3,1174.1,89.4,114.23333333333333
Odisha,kandhamal/phu,1448.3,38.9,134.2,1122.3,152.9,120.69166666666666
Odisha,cuttack,1519.7,41.6,146.4,1162.5,169.2,126.64166666666667
Odisha,dhenkanal,1469.0,28.1,140.9,1144.4,155.6,122.41666666666667
Odisha,ganjam,1304.5,36.0,157.1,833.4,278.0,108.70833333333333
Odisha,kalahandi,1403.0,19.8,85.1,1207.6,90.5,116.91666666666667
Odisha,keondjhargarh,1436.7,48.0,188.4,1056.5,143.8,119.72500000000001
Odisha,koraput,1622.5,17.5,158.9,1262.8,183.3,135.20833333333334
Odisha,mayurbhanj,1660.7,36.6,219.5,1255.9,148.7,138.39166666666668
Odisha,puri,1416.2,41.9,101.8,1021.5,251.0,118.01666666666667
Odisha,sambalpur,1533.5,32.0,68.1,1361.1,72.3,127.79166666666667
Odisha,sundargarh,1347.8,35.6,72.0,1175.9,64.3,112.31666666666666
Odisha,bhadrak,1507.4,44.0,194.6,1069.9,198.9,125.61666666666667
Odisha,jajpur,1541.3,39.0,173.4,1154.8,174.1,128.44166666666666
Odisha,kendrapara,1540.6,41.0,155.5,1088.5,255.6,128.38333333333333
Odisha,angul,1362.0,26.0,110.2,1109.4,116.4,113.5
Odisha,nawapara,1197.4,24.3,74.8,1017.2,81.1,99.78333333333335
Odisha,malkangiri,1572.7,7.3,107.3,1324.1,134.0,131.05833333333334
Odisha,nawarangpur,1660.5,18.5,172.4,1347.3,122.3,138.375
Odisha,nayagarh,1450.1,36.1,115.9,1095.2,202.9,120.84166666666665
Odisha,khurda,1469.5,36.0,125.8,1088.0,219.7,122.45833333333333
Odisha,bargarh,1264.9,23.6,52.4,1125.8,63.1,105.40833333333335
Odisha,jharsuguda,1474.3,37.8,73.6,1281.8,81.1,122.85833333333333
Odisha,deogarh,1533.5,32.0,68.1,1361.1,72.3,127.79166666666667
Odisha,rayagada,1326.9,35.5,188.5,960.5,142.4,110.575
Odisha,gajapati,1462.1,44.5,280.1,930.3,207.2,121.84166666666665
Odisha,jagatsinghapu,1565.0,39.7,183.7,1120.8,220.8,130.41666666666666
Odisha,boudhgarh,1448.3,38.9,134.2,1122.3,152.9,120.69166666666666
Odisha,sonepur,1395.4,20.3,63.2,1243.4,68.5,116.28333333333335
Uttar Pradesh,allahabad,902.6,27.5,17.8,808.7,48.6,75.21666666666667
Uttar Pradesh,azamgarh,1058.3,22.8,30.4,952.7,52.4,88.19166666666666
Uttar Pradesh,bahraich,1148.6,36.8,54.4,993.8,63.6,95.71666666666665
Uttar Pradesh,ballia,928.2,19.2,32.2,827.2,49.6,77.35000000000001
Uttar Pradesh,banda,943.2,29.2,22.9,840.4,50.7,78.60000000000001
Uttar Pradesh,barabanki,1055.4,31.3,31.7,930.5,61.9,87.95
Uttar Pradesh,basti,1062.7,25.8,37.1,943.6,56.2,88.55833333333334
Uttar Pradesh,deoria,1087.0,31.5,41.9,950.9,62.7,90.58333333333333
Uttar Pradesh,faizabad,1114.0,31.1,30.5,989.7,62.7,92.83333333333333
Uttar Pradesh,farrukhabad,853.3,26.2,25.8,743.4,57.9,71.10833333333333
Uttar Pradesh,fatehpur,915.2,30.0,20.5,812.5,52.2,76.26666666666667
Uttar Pradesh,ghazipur,995.8,25.1,26.6,883.0,61.1,82.98333333333333
Uttar Pradesh,gonda,1160.1,26.3,36.9,1027.2,69.7,96.675
Uttar Pradesh,gorakhpur,1338.3,29.8,49.6,1175.5,83.4,111.52499999999999
Uttar Pradesh,hardoi,918.2,31.3,32.2,787.9,66.8,76.51666666666667
Uttar Pradesh,jaunpur,968.1,25.6,23.3,874.1,45.1,80.675
Uttar Pradesh,kanpur nagar,806.4,28.7,16.3,696.8,64.6,67.2
Uttar Pradesh,kheri lakhimp,1085.3,37.6,47.4,926.1,74.2,90.44166666666666
Uttar Pradesh,lucknow,885.3,30.4,23.6,772.5,58.8,73.77499999999999
Uttar Pradesh,mirzapur,1003.2,30.6,24.1,901.1,47.4,83.60000000000001
Uttar Pradesh,pratapgarh,943.6,25.1,19.1,851.8,47.6,78.63333333333334
Uttar Pradesh,rae bareli,853.0,23.3,16.4,750.3,63.0,71.08333333333333
Uttar Pradesh,sitapur,1003.3,30.6,35.6,864.8,72.3,83.60833333333333
Uttar Pradesh,sultanpur,944.5,21.9,27.9,840.7,54.0,78.70833333333333
Uttar Pradesh,unnao,907.2,30.0,21.3,790.3,65.6,75.60000000000001
Uttar Pradesh,varanasi,1037.6,32.9,26.0,923.5,55.2,86.46666666666665
Uttar Pradesh,sonbhadra,1025.1,32.0,28.5,916.9,47.7,85.425
Uttar Pradesh,maharajganj,1389.1,27.4,64.8,1214.1,82.8,115.75833333333333
Uttar Pradesh,mau,1121.3,24.8,33.9,1004.7,57.9,93.44166666666666
Uttar Pradesh,siddharth ngr,1145.7,25.9,37.1,1009.9,72.8,95.47500000000001
Uttar Pradesh,kushinagar,1326.6,25.4,59.7,1158.4,83.1,110.55
Uttar Pradesh,ambedkar nagar,1013.3,25.8,32.6,904.8,50.1,84.44166666666666
Uttar Pradesh,kannauj,902.3,27.0,28.9,776.7,69.7,75.19166666666666
Uttar Pradesh,balrampur,1247.9,35.7,56.1,1071.7,84.4,103.99166666666667
Uttar Pradesh,kaushambi,861.7,27.2,18.9,765.6,50.0,71.80833333333334
Uttar Pradesh,sahuji mahara,986.3,29.3,20.2,885.9,50.9,82.19166666666666
Uttar Pradesh,kanpur dehat,857.2,24.9,14.5,765.0,52.8,71.43333333333334
Uttar Pradesh,chandauli,949.6,30.6,27.2,846.1,45.7,79.13333333333334
Uttar Pradesh,sant kabir ngr,1110.6,24.9,36.4,990.7,58.6,92.55
Uttar Pradesh,sant ravidas,949.6,30.6,27.2,846.1,45.7,79.13333333333334
Uttar Pradesh,shravasti ngr,1148.6,36.8,54.4,993.8,63.6,95.71666666666665
Uttar Pradesh,agra,774.6,27.4,22.2,687.2,37.8,64.55
Uttar Pradesh,aligarh,771.0,32.1,33.4,655.7,49.8,64.25
Uttar Pradesh,bareilly,996.6,39.2,36.9,853.8,66.7,83.05
Uttar Pradesh,bijnor,1083.1,59.2,51.4,914.2,58.3,90.25833333333333
Uttar Pradesh,badaun,884.8,29.5,29.9,758.0,67.4,73.73333333333333
Uttar Pradesh,bulandshahar,779.0,29.4,31.0,670.7,47.9,64.91666666666667
Uttar Pradesh,etah,714.4,25.0,25.9,615.3,48.2,59.53333333333333
Uttar Pradesh,etawah,829.6,25.6,22.2,728.0,53.8,69.13333333333334
Uttar Pradesh,hamirpur,881.8,27.6,14.1,796.9,43.2,73.48333333333333
Uttar Pradesh,jalaun,871.5,24.7,15.8,774.9,56.1,72.625
Uttar Pradesh,jhansi,931.5,24.6,18.7,837.9,50.3,77.625
Uttar Pradesh,lalitpur,1034.6,30.4,16.7,939.3,48.2,86.21666666666665
Uttar Pradesh,mainpuri,748.4,21.3,21.8,655.3,50.0,62.36666666666667
Uttar Pradesh,mathura,655.9,20.5,23.5,579.9,32.0,54.65833333333333
Uttar Pradesh,meerut,918.0,41.5,39.8,778.5,58.2,76.5
Uttar Pradesh,moradabad,992.9,44.3,33.5,855.2,59.9,82.74166666666666
Uttar Pradesh,muzaffarnagar,869.1,44.6,34.6,736.8,53.1,72.425
Uttar Pradesh,pilibhit,1155.4,37.8,43.1,988.6,85.9,96.28333333333335
Uttar Pradesh,rampur,1057.6,44.2,48.8,915.5,49.1,88.13333333333333
Uttar Pradesh,saharanpur,963.9,53.4,48.2,804.6,57.7,80.325
Uttar Pradesh,shahjahanpur,1010.8,34.4,38.0,859.2,79.2,84.23333333333333
Uttar Pradesh,ghaziabad,766.3,37.9,36.6,641.7,50.1,63.85833333333333
Uttar Pradesh,firozabad,765.5,24.2,21.6,676.3,43.4,63.791666666666664
Uttar Pradesh,mahoba,853.1,28.0,13.4,776.4,35.3,71.09166666666667
Uttar Pradesh,mahamaya naga,710.8,21.9,25.1,625.4,38.4,59.23333333333333
Uttar Pradesh,auraiya,811.9,30.0,21.7,700.0,60.2,67.65833333333333
Uttar Pradesh,bagpat,646.1,33.6,33.7,545.3,33.5,53.84166666666667
Uttar Pradesh,jyotiba phule,917.4,38.5,34.2,783.0,61.7,76.45
Uttar Pradesh,gautam buddha,669.3,28.5,23.4,572.8,44.6,55.775
Uttar Pradesh,kanshiram nag,818.4,26.0,29.0,701.5,61.9,68.2
Uttrakhand,almora,1157.3,93.0,119.6,858.4,86.3,96.44166666666666
Uttrakhand,chamoli,1267.0,135.2,194.2,859.3,78.3,105.58333333333333
Uttrakhand,dehradun,2123.9,101.0,124.8,1802.1,96.0,176.99166666666667
Uttrakhand,garhwal pauri,1464.0,76.3,93.2,1213.5,81.0,122.0
Uttrakhand,nainital,1743.7,87.0,113.0,1439.1,104.6,145.30833333333334
Uttrakhand,pithoragarh,2098.0,107.7,205.3,1687.9,97.1,174.83333333333334
Uttrakhand,garhwal tehri,1385.0,106.8,143.9,1047.1,87.2,115.41666666666667
Uttrakhand,uttarkashi,1625.7,143.7,235.5,1148.6,97.9,135.475
Uttrakhand,haridwar,1143.9,68.9,64.4,961.9,48.7,95.325
Uttrakhand,champawat,1623.9,82.8,113.1,1319.7,108.3,135.32500000000002
Uttrakhand,rudraprayag,2150.9,148.9,234.2,1671.1,96.7,179.24166666666667
Uttrakhand,udham singh n,1313.9,49.0,57.6,1119.9,87.4,109.49166666666667
Uttrakhand,bageshwar,1157.3,93.0,119.6,858.4,86.3,96.44166666666666
Haryana,ambala,1104.7,70.5,53.5,916.6,64.1,92.05833333333334
Haryana,gurgaon,544.0,21.9,27.3,472.3,22.5,45.333333333333336
Haryana,hisar,401.4,23.2,31.6,325.1,21.5,33.449999999999996
Haryana,jind,509.1,35.1,32.7,415.6,25.7,42.425000000000004
Haryana,karnal,714.4,51.7,41.4,577.0,44.3,59.53333333333333
Haryana,mahendragarh,476.2,22.7,33.6,395.4,24.5,39.68333333333333
Haryana,rohtak,618.0,36.1,46.8,508.0,27.1,51.5
Haryana,bhiwani,419.5,25.0,24.8,348.5,21.2,34.958333333333336
Haryana,faridabad,697.6,28.8,37.2,600.2,31.4,58.13333333333333
Haryana,kurukshetra,691.4,48.1,41.5,563.0,38.8,57.61666666666667
Haryana,sirsa,313.5,22.6,27.7,242.1,21.1,26.125
Haryana,sonepat(rtk),644.2,35.0,40.7,534.3,34.2,53.68333333333334
Haryana,yamunanagar,1107.0,77.4,73.4,892.1,64.1,92.25
Haryana,kaithal,466.5,32.9,26.6,384.0,23.0,38.875
Haryana,panipat,624.1,36.4,32.0,521.7,34.0,52.00833333333333
Haryana,rewari,492.2,17.8,18.1,435.8,20.5,41.016666666666666
Haryana,fatehabad,364.6,27.7,32.9,283.0,21.0,30.383333333333336
Haryana,jhajjar,489.0,24.9,27.8,417.3,19.0,40.75
Haryana,panchkula,1148.2,81.0,67.2,950.4,49.6,95.68333333333334
Haryana,mewat,572.0,19.0,21.3,501.8,29.9,47.666666666666664
Haryana,palwal(frd),508.1,17.0,17.9,446.9,26.3,42.34166666666667
Punjab,amritsar,721.7,59.4,73.4,537.6,51.3,60.14166666666667
Punjab,bathinda,407.9,28.9,30.7,321.0,27.3,33.99166666666667
Punjab,ferozepur,455.6,30.2,46.0,352.3,27.1,37.96666666666667
Punjab,gurdaspur,1112.5,109.9,100.8,827.8,74.0,92.70833333333333
Punjab,hoshiarpur,933.1,78.2,76.2,717.9,60.8,77.75833333333334
Punjab,jalandhar,719.1,57.2,64.6,551.5,45.8,59.925000000000004
Punjab,kapurthala,568.0,48.6,49.4,422.6,47.4,47.333333333333336
Punjab,ludhiana,685.6,50.4,55.2,534.2,45.8,57.13333333333333
Punjab,patiala,752.0,51.4,45.5,615.2,39.9,62.666666666666664
Punjab,rupnagar,956.5,80.5,91.5,728.5,56.0,79.70833333333333
Punjab,sangrur,557.4,37.6,45.0,436.8,38.0,46.449999999999996
Punjab,faridkot,415.6,30.4,39.0,325.1,21.1,34.63333333333333
Punjab,moga,460.6,34.7,40.4,354.0,31.5,38.38333333333333
Punjab,nawanshahr,1005.6,78.7,73.7,788.6,64.6,83.8
Punjab,fatehgarh sah,683.1,46.7,46.3,547.1,43.0,56.925000000000004
Punjab,muktsar,399.5,29.4,36.1,311.8,22.2,33.291666666666664
Punjab,mansa,419.8,30.7,27.4,334.8,26.9,34.983333333333334
Punjab,barnala,449.4,31.6,31.1,355.6,31.1,37.449999999999996
Punjab,sas nagar(mga),818.7,58.1,67.9,644.5,48.2,68.22500000000001
Punjab,tarn taran,449.2,36.3,44.3,336.8,31.8,37.43333333333333
Himachal Pradesh,bilaspur,1197.2,129.3,121.2,877.0,69.7,99.76666666666667
Himachal Pradesh,chamba,1997.1,239.0,224.9,1406.4,126.8,166.42499999999998
Himachal Pradesh,kangra,2019.8,163.2,169.9,1582.1,104.6,168.31666666666666
Himachal Pradesh,kinnaur,836.4,209.9,260.7,264.2,101.6,69.7
Himachal Pradesh,kullu,1088.1,183.9,286.8,519.7,97.7,90.675
Himachal Pradesh,lahul & spiti,1248.8,269.9,377.2,458.2,143.5,104.06666666666666
Himachal Pradesh,mandi,1506.9,138.6,194.3,1093.4,80.6,125.575
Himachal Pradesh,hamirpur,1428.2,134.4,128.9,1078.9,86.0,119.01666666666667
Himachal Pradesh,shimla,1041.4,139.4,193.3,633.9,74.8,86.78333333333335
Himachal Pradesh,sirmaur,1618.3,111.7,94.7,1324.6,87.3,134.85833333333332
Himachal Pradesh,solan,1366.2,137.8,139.3,1000.1,89.0,113.85000000000001
Himachal Pradesh,una,1110.7,91.4,84.9,862.7,71.7,92.55833333333334
Jammu And Kashmir,anantnag,969.6,183.9,367.2,285.1,133.4,80.8
Jammu And Kashmir,baramulla,1132.0,273.1,446.9,247.7,164.3,94.33333333333333
Jammu And Kashmir,doda,1335.5,281.2,441.4,441.4,171.5,111.29166666666667
Jammu And Kashmir,jammu,1211.3,122.9,146.0,860.5,81.9,100.94166666666666
Jammu And Kashmir,kathua,1268.2,144.7,77.9,982.0,63.6,105.68333333333334
Jammu And Kashmir,ladakh (leh),94.6,15.4,24.8,39.6,14.8,7.883333333333333
Jammu And Kashmir,udhampur,1973.9,228.8,240.2,1377.2,127.7,164.49166666666667
Jammu And Kashmir,badgam,671.7,122.5,274.2,186.4,88.6,55.975
Jammu And Kashmir,kupwara,1132.7,213.4,495.0,253.2,171.1,94.39166666666667
Jammu And Kashmir,pulwama,504.6,90.7,207.5,151.4,55.0,42.050000000000004
Jammu And Kashmir,srinagar,673.6,125.5,258.8,184.3,105.0,56.13333333333333
Jammu And Kashmir,kargil,223.3,51.2,66.8,49.7,55.6,18.608333333333334
Jammu And Kashmir,poonch,1474.1,263.1,327.1,760.5,123.4,122.84166666666665
Jammu And Kashmir,rajouri,957.2,126.0,111.7,649.5,70.0,79.76666666666667
Jammu And Kashmir,bandipore,700.4,162.0,272.5,168.6,97.3,58.36666666666667
Jammu And Kashmir,ganderwal,673.6,125.5,258.8,184.3,105.0,56.13333333333333
Jammu And Kashmir,kulgam/(ant),878.9,146.5,369.6,268.9,93.9,73.24166666666666
Jammu And Kashmir,shopan,818.7,121.4,331.2,265.7,100.4,68.22500000000001
Jammu And Kashmir,samba,1211.3,122.9,146.0,860.5,81.9,100.94166666666666
Jammu And Kashmir,kistwar,1335.5,281.2,441.4,441.4,171.5,111.29166666666667
Jammu And Kashmir,reasi,1796.5,194.5,168.1,1322.6,111.3,149.70833333333334
Jammu And Kashmir,ramban(dda),1328.4,335.3,409.5,400.6,183.0,110.7
Rajasthan,barmer,268.6,2.9,14.6,243.4,7.7,22.383333333333336
Rajasthan,bikaner,274.0,11.9,24.1,228.7,9.3,22.833333333333332
Rajasthan,churu,369.6,13.6,27.6,313.7,14.7,30.8
Rajasthan,sri ganganaga,252.9,14.0,27.9,201.4,9.6,21.075
Rajasthan,jaisalmer,181.2,4.6,12.6,158.4,5.6,15.1
Rajasthan,jalore,427.1,2.9,12.2,394.2,17.8,35.59166666666667
Rajasthan,jodhpur,308.1,6.0,19.0,274.5,8.6,25.675
Rajasthan,nagaur,394.1,9.6,22.7,348.5,13.3,32.84166666666667
Rajasthan,pali,485.7,6.2,15.1,446.7,17.7,40.475
Rajasthan,hanumangarh,301.6,16.1,23.6,252.5,9.4,25.133333333333336
Rajasthan,ajmer,462.2,5.7,13.2,429.6,13.7,38.516666666666666
Rajasthan,alwar,630.9,19.8,26.9,555.3,28.9,52.574999999999996
Rajasthan,banswara,883.0,3.3,7.7,831.8,40.2,73.58333333333333
Rajasthan,bharatpur,621.1,18.2,20.3,557.6,25.0,51.75833333333333
Rajasthan,bhilwara,630.2,8.6,17.3,580.9,23.4,52.51666666666667
Rajasthan,bundi,705.6,8.9,12.2,655.9,28.6,58.800000000000004
Rajasthan,chittorgarh,765.3,5.8,16.1,709.7,33.7,63.775
Rajasthan,dungarpur,677.8,2.3,7.6,637.8,30.1,56.48333333333333
Rajasthan,jaipur,577.2,14.2,21.3,524.6,17.1,48.1
Rajasthan,jhalawar,920.2,9.1,11.8,855.1,44.2,76.68333333333334
Rajasthan,jhunjhunu,481.0,16.8,32.0,410.0,22.2,40.083333333333336
Rajasthan,kota,807.9,10.0,12.6,746.3,39.0,67.325
Rajasthan,sawai madhopur,721.0,13.7,15.6,664.0,27.7,60.083333333333336
Rajasthan,sikar,463.8,15.5,28.0,402.5,17.8,38.65
Rajasthan,sirohi,913.4,5.6,16.0,868.6,23.2,76.11666666666666
Rajasthan,tonk,613.9,10.3,15.8,566.0,21.8,51.15833333333333
Rajasthan,udaipur,639.7,4.8,14.7,591.3,28.9,53.30833333333334
Rajasthan,dholpur,722.1,18.1,18.1,650.0,35.9,60.175000000000004
Rajasthan,baran,852.7,10.3,11.0,792.2,39.2,71.05833333333334
Rajasthan,dausa,674.8,15.7,21.1,612.1,25.9,56.23333333333333
Rajasthan,rajsamand,554.5,6.2,18.6,506.0,23.7,46.208333333333336
Rajasthan,karauli,696.2,16.8,15.8,637.4,26.2,58.01666666666667
Rajasthan,pratapgarh(cht,915.3,4.8,12.5,845.8,52.2,76.27499999999999
Madhya Pradesh,betul,1028.8,16.0,21.6,918.5,72.7,85.73333333333333
Madhya Pradesh,vidisha,1084.8,22.2,10.9,1005.0,46.7,90.39999999999999
Madhya Pradesh,bhind,763.4,17.5,10.1,685.5,50.3,63.61666666666667
Madhya Pradesh,datia,860.2,17.6,15.0,775.8,51.8,71.68333333333334
Madhya Pradesh,dewas,1031.4,11.5,11.3,949.8,58.8,85.95
Madhya Pradesh,dhar,886.1,4.3,6.3,826.8,48.7,73.84166666666667
Madhya Pradesh,guna,1028.3,19.2,17.6,943.0,48.5,85.69166666666666
Madhya Pradesh,gwalior,885.9,23.1,17.4,790.6,54.8,73.825
Madhya Pradesh,hoshangabad,1392.2,20.1,20.4,1289.1,62.6,116.01666666666667
Madhya Pradesh,indore,917.3,8.2,11.3,839.7,58.1,76.44166666666666
Madhya Pradesh,jhabua,812.8,2.9,9.6,745.3,55.0,67.73333333333333
Madhya Pradesh,mandsaur,850.1,6.7,11.3,780.0,52.1,70.84166666666667
Madhya Pradesh,morena,777.0,19.2,14.4,708.2,35.2,64.75
Madhya Pradesh,khandwa,940.0,11.4,17.5,850.8,60.3,78.33333333333333
