state,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,jan-feb,mar-may,jun-sep,oct-dec,annual_avg
Andaman And Nicobar,27.31,27.52,28.5,29.51,29.82,28.93,28.47,28.31,28.12,28.43,28.55,27.87,27.415,29.27666667,28.4575,28.28333333,28.445
Andhra Pradesh,25.85,28.14,31.62,34.34,37.48,34.63,32.46,31.51,30.58,29.03,26.52,25.46,26.995,34.48,32.295,27.00333333,30.635
Arunachal Pradesh,18.52,21.31,24.54,26.57,28.29,29.12,28.43,29.41,28.1,25.91,21.73,19.08,19.915,26.46666667,28.765,22.24,25.08416667
Assam,19.23,22.46,26.69,28.44,29.53,29.94,29.23,30,28.73,26.47,22.8,20.14,20.845,28.22,29.475,23.13666667,26.13833333
Bihar,18.65,22.88,30,36.25,38.52,37.44,33.02,32.33,30.98,28.13,25.02,20.85,20.765,34.92333333,33.4425,24.66666667,29.50583333
Chattisgarh,22.37,26.88,32.23,37.24,39.68,35.32,30.02,28.65,28.6,26.87,24.94,22.54,24.625,36.38333333,30.6475,24.78333333,29.61166667
Goa,27.96,28.84,29.77,30.77,30.84,28.13,26.71,26.63,27.19,28.38,28.8,28.39,28.4,30.46,27.165,28.52333333,28.53416667
Gujarat,23.52,26.32,30.88,34.61,35.8,33.81,29.9,28.65,29.39,32.04,29.36,25.14,24.92,33.76333333,30.4375,28.84666667,29.95166667
Haryana,15.77,19.57,26.11,33.98,38.93,39.59,35.94,33.76,32.69,30.36,24.34,18.48,17.67,33.00666667,35.495,24.39333333,29.12666667
Himachal Pradesh,8.51,11.04,16.32,21.54,25.62,26.75,24.04,22.76,21.58,18.39,13.99,10.32,9.775,21.16,23.7825,14.23333333,18.405
Jammu And Kashmir,13.84,16.55,22.05,28.58,33.92,36.38,34.35,31.74,30.19,26.53,20.64,15.82,15.195,28.18333333,33.165,20.99666667,25.8825
Jharkhand,18.83,23.2,28.46,33.63,35.4,32.97,28.34,27.57,26.98,24.76,22.05,19.16,21.015,32.49666667,28.965,21.99,26.77916667
Karnataka,25.7,28.33,31.99,33.9,33.27,27.9,26.03,25.86,26.28,26.67,25.57,24.88,27.015,33.05333333,26.5175,25.70666667,28.03166667
Kerala,27.85,29.47,30.74,30.92,29.48,26.85,26.26,26.23,26.79,27.15,27.32,27.27,28.66,30.38,26.5325,27.24666667,28.0275
Madhya Pradesh,20.23,24.74,30.52,36.27,39.24,35.4,29.37,27.73,28.16,27.51,24.53,20.8,22.485,35.34333333,30.165,24.28,28.70833333
Maharashtra,24.3,27.92,31.94,35.87,36.93,31.84,27.84,26.78,27.21,27.49,25.56,23.7,26.11,34.91333333,28.4175,25.58333333,28.94833333
Manipur,15.28,18.52,22.39,24.6,25.28,25.16,24.36,24.58,24.07,22.14,19.02,15.9,16.9,24.09,24.5425,19.02,21.775
Meghalaya,13.04,15.79,18.93,20.63,21.53,22.3,22.13,22.27,21.64,19.66,16.77,14,14.415,20.36333333,22.085,16.81,19.0575
Mizoram,18.33,21.73,25.92,28.69,28.62,27.1,26.4,26.48,26.36,25.29,22.58,19.48,20.03,27.74333333,26.585,22.45,24.74833333
Nagaland,18.13,21.25,24.79,26.88,28.41,29.34,28.65,29.34,27.96,25.47,21.51,18.81,19.69,26.69333333,28.8225,21.93,25.045
Odisha,22.94,27.35,32.25,36.27,37.11,34.34,30.52,29.7,29.52,27.84,25.45,22.91,25.145,35.21,31.02,25.4,29.68333333
Pondicherry,25.93,26.83,28.98,30.89,32.6,32.19,31.32,30.59,30.04,29.3,27.7,26.44,26.38,30.82333333,31.035,27.81333333,29.40083333
Punjab,14.09,17.69,24.01,32.07,37.67,39.46,36.28,33.04,31.69,29.33,23.25,17.2,15.89,31.25,35.1175,23.26,27.98166667
Rajasthan,17.78,21.7,27.96,34.2,37.89,37.67,34,31.21,31.24,30.31,24.77,19.27,19.74,33.35,33.53,24.78333333,29
Sikkim,7.04,10.09,12.7,15.65,17.35,18.99,18.73,19.15,18.02,15.25,11.98,8.82,8.565,15.23333333,18.7225,12.01666667,14.48083333
Tamil Nadu,26.56,28.63,31.85,34.55,35.11,33.32,32.77,32.06,31.62,29.75,27.37,26.29,27.595,33.83666667,32.4425,27.80333333,30.82333333
Telangana,24.46,27.69,31.86,35.6,37.57,31.83,27.81,26.91,27.3,26.78,25.14,23.8,26.075,35.01,28.4625,25.24,28.89583333
Tripura,20.13,23.32,27.51,29.79,29.9,29.35,28.64,28.85,28.47,26.79,23.63,20.83,21.725,29.06666667,28.8275,23.75,26.43416667
Uttar Pradesh,17.59,21.5,28.63,35.79,39.58,38.81,33.7,32.1,31.12,29.07,25.17,20.12,19.545,34.66666667,33.9325,24.78666667,29.43166667
Uttarakhand,12.85,16.59,22.39,28.56,32.68,33.23,28.87,27.12,26.11,22.91,18.42,14.26,14.72,27.87666667,28.8325,18.53,23.66583333
West Bengal,21.9,26.06,31.11,35.04,35.65,34.57,31.61,30.78,29.97,28.1,25.83,23.06,23.98,33.93333333,31.7325,25.66333333,29.47333333
